timestamp,open,high,low,close,volume
2024-04-03 00:00:00+00:00,379.5014983686911,380.7029631924612,377.8640431226906,379.0945739746094,3547000
2024-04-04 00:00:00+00:00,381.7784414585999,381.981903658655,373.61056217215537,374.0174865722656,5041200
2024-04-05 00:00:00+00:00,374.3372285550424,378.309753202648,374.0756047388471,376.7691650390625,4423500
2024-04-08 00:00:00+00:00,376.9532764081795,378.0094111143461,376.4882199476109,377.0017395019531,2431300
2024-04-09 00:00:00+00:00,377.50562437463407,377.8544463477565,373.73659068403566,376.7498779296875,4003900
2024-04-10 00:00:00+00:00,372.95166823104734,373.9690086793206,371.1204199417239,372.5544128417969,5173100
2024-04-11 00:00:00+00:00,373.4846336659291,374.0756528239659,370.12252473234025,372.58355712890625,3972800
2024-04-12 00:00:00+00:00,370.4227899571891,371.02350749671206,367.0316158494509,368.05865478515625,5305100
2024-04-15 00:00:00+00:00,371.41111776509064,371.8859023151814,364.89039239531985,365.57830810546875,4870700
2024-04-16 00:00:00+00:00,367.93270357873183,368.11679825864695,365.3166726413517,366.2274475097656,4383500
2024-04-17 00:00:00+00:00,367.41924561229143,368.36878519564146,364.4447233482156,365.7139892578125,4584900
2024-04-18 00:00:00+00:00,367.26422723086955,369.0857773237652,365.1326493358179,366.09185791015625,4579200
2024-04-19 00:00:00+00:00,367.1078622021794,369.3762903297396,366.361423112407,368.18389892578125,5078600
2024-04-22 00:00:00+00:00,370.05482167868496,372.68192820894836,368.193531745559,370.67523193359375,4129000
2024-04-23 00:00:00+00:00,371.9549229700653,373.7968059456801,371.19878029232007,373.2442321777344,3126400
2024-04-24 00:00:00+00:00,373.09869554111094,373.68035037879247,371.3052721183403,372.6818542480469,3575800
2024-04-25 00:00:00+00:00,368.1741789769124,369.8803294813679,365.9348324026506,369.2696228027344,4682800
2024-04-26 00:00:00+00:00,369.10471953219206,371.615500548309,368.8914470729291,370.61700439453125,4252400
2024-04-29 00:00:00+00:00,371.38292011982315,372.28446903686586,370.3844237787091,372.0614929199219,3265900
2024-04-30 00:00:00+00:00,370.7624340943506,371.0435727138813,366.5163918729973,366.56488037109375,3463600
2024-05-01 00:00:00+00:00,366.80722466267576,371.75124670520586,366.4194646088725,367.3016357421875,5731600
2024-05-02 00:00:00+00:00,369.49256588785005,371.1987459605305,367.3113818748354,370.53955078125,3535600
2024-05-03 00:00:00+00:00,375.29938227183465,376.12336145321217,373.28298226306237,374.940673828125,4471100
2024-05-06 00:00:00+00:00,376.44333773885126,376.8504755775166,374.9988888961804,376.5693664550781,2596100
2024-05-07 00:00:00+00:00,377.26733489656993,377.8295827081812,376.4627036952965,376.8504638671875,2428600
2024-05-08 00:00:00+00:00,376.4626992124599,378.9541034031046,376.31729284775787,378.5372619628906,2855100
2024-05-09 00:00:00+00:00,378.1785154541491,382.20161183963194,378.08159761023023,381.9495544433594,4141200
2024-05-10 00:00:00+00:00,383.1612499341661,383.7913637199385,382.0464286848464,383.0933837890625,3505600
2024-05-13 00:00:00+00:00,384.2567979955601,384.4797445555146,382.0174512719401,382.3955078125,2635800
2024-05-14 00:00:00+00:00,382.47306123494786,384.1307528564425,381.76537752574484,383.4812316894531,2702700
2024-05-15 00:00:00+00:00,385.09043914099703,387.2813267014211,384.7996264489941,387.06805419921875,3421200
2024-05-16 00:00:00+00:00,387.5237060874547,388.7354750245637,386.922673428121,387.0002136230469,2877200
2024-05-17 00:00:00+00:00,387.47973999270397,388.3632257368052,386.8292806873618,388.2952880859375,2702900
2024-05-20 00:00:00+00:00,388.1205867485536,389.0429153508606,386.24683456522246,386.499267578125,2094800
2024-05-21 00:00:00+00:00,386.71283666914246,387.4312633546735,386.1788460656566,387.159423828125,1618300
2024-05-22 00:00:00+00:00,386.3535523127228,387.2273199425768,383.98465274752164,385.10113525390625,2647200
2024-05-23 00:00:00+00:00,385.4895582980115,385.5186829044985,378.8780059708712,379.27606201171875,3361200
2024-05-24 00:00:00+00:00,379.8197078667183,380.8196921063659,378.7905990231309,379.2566223144531,2072200
2024-05-28 00:00:00+00:00,378.45085510534574,378.8489111775179,375.7421479757442,377.276123046875,2176100
2024-05-29 00:00:00+00:00,374.0819071138261,374.4799631020365,373.0430802393466,373.3731689453125,2715000
2024-05-30 00:00:00+00:00,370.2566849207218,371.2566690263871,369.3246680912378,370.3634948730469,4063400
2024-05-31 00:00:00+00:00,370.8490144597565,376.31492991273973,370.159682711416,376.2372741699219,4748400
2024-06-03 00:00:00+00:00,376.5673387802408,376.58677493591495,371.77128959792077,374.9848327636719,3614300
2024-06-04 00:00:00+00:00,373.7810278968348,377.0625388043517,373.3344406789053,376.2178955078125,2822500
2024-06-05 00:00:00+00:00,377.2760361285785,377.6352494301919,374.72267071014875,377.20806884765625,2181400
2024-06-06 00:00:00+00:00,377.4800572876727,379.20818682497895,376.4897907983044,377.9848937988281,2241900
2024-06-07 00:00:00+00:00,377.54786941966205,380.20801512586957,376.586727938893,377.1692199707031,1952000
2024-06-10 00:00:00+00:00,376.7226303364242,378.01386050262846,375.9071118690927,377.9459228515625,1380600
2024-06-11 00:00:00+00:00,376.36346458241695,376.88773710202423,373.6838824025196,376.6644287109375,2522600
2024-06-12 00:00:00+00:00,380.1691759134043,380.4895761621031,375.42168804117784,376.3925476074219,3866700
2024-06-13 00:00:00+00:00,375.5479519608055,376.37318862200516,373.38292418843463,375.606201171875,3136100
2024-06-14 00:00:00+00:00,373.4120470292782,375.2761106595519,372.45090542288733,375.19842529296875,2884300
2024-06-17 00:00:00+00:00,374.0236122681014,377.8682074882938,373.7614908763655,377.2565612792969,2025300
2024-06-18 00:00:00+00:00,377.5770151094739,378.81971422721267,376.71293583355816,377.8003234863281,1848700
2024-06-20 00:00:00+00:00,377.4119489399466,381.6546006235087,377.0624537078221,380.6449279785156,3588000
2024-06-21 00:00:00+00:00,381.1062418979709,381.88465313929726,379.9288555502717,380.7851257324219,2592100
2024-06-24 00:00:00+00:00,381.88459890502605,384.92044388733535,381.32996538474384,383.3538818359375,3096600
2024-06-25 00:00:00+00:00,382.9452566363637,383.48041066073563,379.30613800386857,380.4737548828125,2879100
2024-06-26 00:00:00+00:00,379.56873663178675,381.1645178464013,378.5178787716455,380.6877136230469,1501900
2024-06-27 00:00:00+00:00,380.0747562919638,381.8067760215501,379.6369111590474,380.9991455078125,1601100
2024-06-28 00:00:00+00:00,380.8142974517846,383.6847444459606,378.70284146966185,380.5807800292969,3624400
2024-07-01 00:00:00+00:00,381.5051897208753,383.655605148443,379.73429954365616,380.90191650390625,2536500
2024-07-02 00:00:00+00:00,380.2499231804313,382.6824951171875,380.15261436406473,382.6824951171875,1711600
2024-07-03 00:00:00+00:00,383.1106128946153,383.4316993102304,381.563500775873,382.23486328125,2319100
2024-07-05 00:00:00+00:00,382.5851362684244,383.3732870973048,381.0866638368898,383.0813903808594,2011000
2024-07-08 00:00:00+00:00,383.7722590300492,386.0296927754277,382.1862174735504,382.8478698730469,3374500
2024-07-09 00:00:00+00:00,382.61427418923637,384.3851932147521,380.9114742865037,382.3418273925781,3821600
2024-07-10 00:00:00+00:00,382.3418886500693,386.7399675563333,382.0402521373874,386.5453796386719,4234300
2024-07-11 00:00:00+00:00,386.778927536966,388.13145175076056,385.62102095066797,386.9054260253906,4020700
2024-07-12 00:00:00+00:00,388.10212316021835,391.8288388471733,387.38209159118134,389.52276611328125,4711800
2024-07-15 00:00:00+00:00,391.6148610978617,392.6949086988118,390.5737132647892,391.5078125,4433500
2024-07-16 00:00:00+00:00,392.9673171675021,398.93198725217405,392.9576070737207,398.61090087890625,6547600
2024-07-17 00:00:00+00:00,397.54063047395937,401.2186780236267,397.54063047395937,400.8197326660156,4490600
2024-07-18 00:00:00+00:00,399.6034295763999,402.6976537946058,395.09830182943415,395.750244140625,4922200
2024-07-19 00:00:00+00:00,394.62491025332645,395.29662289805685,391.29558034424383,392.2690734863281,4284500
2024-07-22 00:00:00+00:00,393.33018587160564,394.00189853072465,391.5584211849829,393.437255859375,2314000
2024-07-23 00:00:00+00:00,393.57355110913744,394.54704425215533,392.5319063160315,392.79473876953125,1693500
2024-07-24 00:00:00+00:00,391.0813335605456,391.9574712739549,387.5280605255652,388.1024475097656,3701300
2024-07-25 00:00:00+00:00,388.0635365613655,393.67086599692453,387.8104188633673,388.9007263183594,4179800
2024-07-26 00:00:00+00:00,391.1592798276516,396.8152726467166,391.06192457101974,395.2090148925781,2810600
2024-07-29 00:00:00+00:00,396.0753612616068,396.2116645464184,393.2522374068144,394.76116943359375,2039000
