symbol,strategy,sharpe_gross_full,sharpe_net_full,sharpe_gross_wf,sharpe_net_wf,sharpe_gross_holdout,sharpe_net_holdout,p_value_wf,n_trades_wf,cost_drag_wf,turnover_wf,passed
BTCUSDT,vol_breakout_v1,0.2057,-0.4974,3.0509,1.6985,-1.6801,-2.1701,0.047,405,1.3524,405.0,False
ETHUSDT,vol_breakout_v1,-0.86,-1.2851,2.6497,1.8736,-1.7799,-2.1019,0.049,355,0.7761,355.0,False
EURUSD,BB_ZScore,0.6705,0.2029,2.6831,2.446,-0.3295,-0.9767,0.015,1042,0.2371,1051.0,False
GBPUSD,ema_rsi_v1,0.4929,-1.036,3.8188,2.2159,0.5924,-0.9514,0.027,2226,1.6029,2329.0,False
USDJPY,vol_breakout_v1,0.4683,0.4609,2.9758,2.9685,-1.4775,-1.4867,0.003,1647,0.0073,1654.0,False
US500,tsmom_v1,1.4439,0.1825,3.461,2.4402,-2.6369,-3.9607,0.1,197,1.0208,309.0,False
US30,mean_rev_v1,2.7327,1.918,4.0757,3.3203,1.2261,0.6396,0.031,28,0.7554,28.0,False
XAUUSD,Momentum,1.6252,1.6211,2.6136,2.6087,1.3257,1.3232,0.001,1064,0.0049,1653.0,True
